Director with the best selling movies: Herman Yau, with a total gross of 15,824,268,249.00

+--------------------------------------+-----------------+
|personName                            |total_gross      |
|Shane Black                           |1,453,911,252.00 |
|Luc Besson                            |1,435,819,166.00 |
|Sergio Mimica-Gezzan                  |1,428,700,000.00 |
|Sally Jones                           |1,424,207,366.00 |
|Steve Martino                         |1,420,300,000.00 |
|James Gunn                            |1,410,834,165.00 |
|Tso Nam Lee                           |1,408,716,573.00 |
|Hark-On Fung                          |1,403,609,000.00 |
|Cheryl Dunye                          |1,401,000,000.00 |
|Edward Zwick                          |1,395,350,203.00 |
|Tom Shadyac                           |1,394,200,000.00 |
|Yarrow Cheney                         |1,387,100,000.00 |
|Marc Forster                          |1,376,616,169.00 |
|Apichatpong Weerasethakul             |1,368,588,713.00 |
|Antoine Fuqua                         |1,368,300,157.00 |
|Brad Peyton                           |1,359,200,000.00 |
|Ron Clements                          |1,358,772,949.00 |
|John Musker                           |1,358,772,949.00 |
|Rawson Marshall Thurber               |1,355,852,498.00 |
|Chris Sanders                         |1,355,179,471.00 |
|Alton Glass                           |1,355,000,000.00 |
|Chris Miller                          |1,354,000,000.00 |
|Nancy Meyers                          |1,351,000,000.00 |
|Samuel Perriard                       |1,350,000,000.00 |
|Conor Long                            |1,337,000,000.00 |
|Noah Way                              |1,334,000,000.00 |
|Tim Story                             |1,328,621,967.00 |
|Tankred Dorst                         |1,322,000,000.00 |
|Louis Leterrier                       |1,318,783,157.00 |
|Bob Peterson                          |1,314,807,738.00 |
|Jaume Collet-Serra                    |1,312,352,111.00 |
|Barry Levinson                        |1,309,919,860.00 |
|Danny McCullough                      |1,302,000,000.00 |
|James Erskine                         |1,302,000,000.00 |
|Jared Bush                            |1,282,321,689.00 |
|Miyoji Ieki                           |1,281,000,000.00 |
|Jun'ya Satô                           |1,280,000,000.00 |
|Sydney Pollack                        |1,277,063,686.00 |
|Donald Murphy                         |1,273,844,152.00 |
|Gregory Jacobs                        |1,271,098,117.00 |
|Laura Jackson                         |1,260,000,000.00 |
|Woody Allen                           |1,251,476,084.00 |
|Michael Apted                         |1,250,258,511.00 |
|Phillip Noyce                         |1,250,232,878.00 |
|Renny Harlin                          |1,250,061,824.00 |
|John McTiernan                        |1,246,100,000.00 |
|Christopher Miller                    |1,243,935,339.00 |
|Phil Lord                             |1,243,933,876.00 |
|Paul Busetti                          |1,237,000,000.00 |
|Jennifer Yuh Nelson                   |1,228,000,000.00 |
|Charles Burnett                       |1,227,724,726.00 |
|Guillermo del Toro                    |1,223,524,298.00 |
|Gary Ross                             |1,216,020,619.00 |
|Masato Maeda                          |1,204,573,500.00 |
|Peter Segal                           |1,202,613,201.00 |
|Eduardo Geada                         |1,199,000,000.00 |
|Matthew Vaughn                        |1,194,851,683.00 |
|Sylvester Stallone                    |1,185,085,518.00 |
|Raman Hui                             |1,184,280,000.00 |
|Paul Feig                             |1,182,316,082.00 |
|Adam Shankman                         |1,180,600,000.00 |
|Baz Luhrmann                          |1,180,270,284.00 |
|Jan de Bont                           |1,178,700,000.00 |
|Oliver Stone                          |1,176,668,572.00 |
|Brian De Palma                        |1,174,652,467.00 |
|George Miller                         |1,174,091,829.00 |
|Roger Allers                          |1,166,537,294.00 |
|Joel Coen                             |1,157,445,241.00 |
|Johanna Rieger                        |1,154,000,000.00 |
|Wolfgang Reitherman                   |1,153,000,000.00 |
|Kenneth Branagh                       |1,149,989,632.00 |
|Joachim Rønning                       |1,147,227,696.00 |
|McG                                   |1,147,200,000.00 |
|Mel Gibson                            |1,143,000,000.00 |
|Simon West                            |1,130,543,701.00 |
|David Silverman                       |1,106,807,738.00 |
|Jonathan Liebesman                    |1,100,563,715.00 |
|Mike Nichols                          |1,095,335,773.00 |
|Geoff Murphy                          |1,090,631,528.00 |
|Alan Taylor                           |1,085,386,677.00 |
|Robert Schwentke                      |1,081,341,358.00 |
|John Landis                           |1,075,170,375.00 |
|Josh Cooley                           |1,073,000,000.00 |
|Paul Verhoeven                        |1,060,765,353.00 |
|Andy Tennant                          |1,057,337,683.00 |
|Lasse Hallström                       |1,056,764,811.00 |
|Michael Mann                          |1,056,074,744.00 |
